english,portuguese
careful,"[careful] cuidadoso, tenha cuidado, cauteloso, cuidadosos, cuidadosa"
carefully,"[carefully] cautelosamente, cuidadosamente"
carried,"[carried] trazia, levou, acarretado, acarretar, acarretou, carregou, levado, levar, levava, ter à venda, teve à venda, tido à venda, transportado, transportar, transportou, trazido"
carries,"[carries] carrega, acarreta, acarretar, leva, levar, porta, tem à venda, ter à venda, transporta, transportar"
cars,"[cars] carros, automóveis, os carros"
case,"[case] caso, caixa, caixote, causa, cigarreira, estojo, mala"
cash,"[cash] dinheiro, pagar, pagaria, cash, cobra, cobram, cobramos, cobrar, cobrarei, cobraria, cobro, dinheiro em espécie, dinheiro vivo, numerário, paga, pagam, pagamos, pagarei, pago, recebe, recebem, recebemos, receber, recebo"
castle,[castle] castelo
castles,[castles] castelos
cat,"[cat] gato, gata, gatos"
categories,[categories] categorias
category,[category] categoria
cats,"[cats] gatos, gatas"
cause,"[cause] causa, causar, causam, causaram, causaria, causas, causei, dá, motivo"
cellphone,"[cellphone] celular, telefone celular"
center,[center] centro
century,[century] século
certainly,"[certainly] com certeza, certamente"
chain,"[chain] corrente, acorrenta, acorrentam, acorrentar, acorrento, cadeia"
chair,"[chair] cadeira, cátedra, preside, presidem, presidir, presidiram, presidirá, presidiu, presido, presidência"
championship,[championship] campeonato
change,"[change] mudar, mudar de, muda, muda de, muda de roupa, mudam, mudam de, mudam de roupa, mudamos, mudamos de, mudamos de roupa, mudança, mudar de roupa, mudaram, mudaram de, mudaram de roupa, mudarei, mudarei de, mudarei de roupa, mudarem, mudaremos, mudaremos de, mudaremos de roupa, mudaria, mudaria de, mudaria de roupa, mudariam, mudariam de, mudariam de roupa, mudarmos, mudará, mudará de, mudará de roupa, mudarão, mudarão de, mudarão de roupa, mudaríamos, mudaríamos de, mudaríamos de roupa, mude de, mudo, mudo de, mudo de roupa, mudou, mudou de, mudou de roupa, mudá, mudássemos, troca, trocado, trocam, trocamos, trocar, trocaram, trocarei, trocaremos, trocaria, trocariam, trocará, trocarão, trocaríamos, troco, trocou, troque"
changed,"[changed] mudado, mudado de, mudou, alterado, modificado, mudada, mudado de roupa, mudamos, mudança, mudar, mudar de, mudar de roupa, mudar-se, mudaram, mudaram de, mudaram de roupa, mudaria, mudaria de, mudaria de roupa, mudava, mudava de, mudava de roupa, mudavam, mudavam de, mudavam de roupa, mudei, mudei de, mudei de roupa, mudou de, mudou de roupa, transformou, trocada, trocadas, trocado, trocados, trocar, trocaram, trocaria, trocava, trocavam, troco, trocou, troquei"
channel,"[channel] canal, canaliza, canalizam, canalizar, canalizarei, canalizo"
channels,[channels] canais
chapter,"[chapter] capítulo, (o) capítulo"
character,"[character] caráter, personagem, caractere, carácter, excêntrico, figura"
characters,"[characters] personagens, caracteres, carácter, caráter, caráteres, excêntricos, famas, figuras, personagem"
charge,"[charge] carga, acusação, ataca, atacam, atacar, ataco, cargo, carregar, cobra, cobram, cobrar, cobro, incrimina, incriminam, incriminar, incrimino, preço, taxa"
cheap,"[cheap] barata, baratas, barato, baratos, reduzido"
cheaper,"[cheaper] mais barato, mais barata, mais baratos, mais baratas"
check,"[check] conta, cheque, verifique, checa, checam, checamos, checar, checarei, checaremos, checaria, checariam, checarão, checo, checou, chequem, conferem, despachar, verifica, verificam, verificamos, verificar, verificaram, verificarei, verificaremos, verificaria, verificariam, verifico, verificou, verifiquei, verifiquem, xadrez"
checked,"[checked] despachou, verificamos, verificávamos, checariam, de xadrez, verificado, verificaram, verificariam, verificou, checava, checou, checado, verificámos, verificava, checamos, checar, checámos, verificados, checávamos, cheque, conta, chequei, verifiquei, verificar, xadrez, despachadas"
cheese,"[cheese] queijo, queijos"
chemistry,"[chemistry] química, de química"
chess,"[chess] xadrez, jogo de xadrez"
chest,"[chest] peito, baú"
chicken,"[chicken] frango, galinha, chicken, de frango"
child,"[child] criança, filho, filha"
children,"[children] crianças, filhos, as crianças, filhas"
china,"[china] China, louça"
chinese,"[chinese] chinês, da China, chinesa, chinesas, chineses"
choice,"[choice] escolha, escolhido, opção, seleccionado, seleto"
choose,"[choose] escolher, escolhe, escolhemos, escolha, escolhem, escolheram, escolherei, escolheremos, escolheria, escolherá, escolherão, escolheu, escolhi, escolho"
chose,"[chose] escolheram, escolhemos, escolhi, escolher, escolheu, escolhia, escolhiam, escolhíamos, preferi, preferia, preferiam, preferimos, preferir, preferiram, preferiu, preferíamos"
church,[church] igreja
churches,[churches] igrejas
cinema,[cinema] cinema
circle,"[circle] círculo, dão a volta a, damos a volta a, balcão, circule, dar a volta a, descreve círculos, descrevem círculos, descrevemos círculos, descrever círculos, descrevo círculos, dou a volta a, dá a volta a, roda, voltear"
cities,[cities] cidades
citizen,"[citizen] cidadão/cidadã, cidadã, habitante"
citizens,"[citizens] cidadãos/cidadãs, cidadão/cidadã, povo"
city,[city] cidade
class,"[class] aula, classe, turma, a aula, classifica, classificam, classificamos, classificar, classificarei, classificaria, classificará, classificarão, classifico, classifiquei, curso, disciplina, sala"
classes,"[classes] aulas, as aulas, aula, classes, classifica, classificar, disciplinas, salas"
classical,"[classical] clássico, clássica"
classroom,"[classroom] sala de aulas, sala de aula, aula"
clean,"[clean] limpo, limpa, limpe, completamente, limpam, limpamos, limpar, limparam, limparei, limparemos, limpará, limpas, limpem, limpinho, limpos, limpou, limpá"
cleaned,"[cleaned] limpou, limpa, limpado, limpamos, limparam, limpas, limpava, limpei, limpo, limpos, limpávamos"
cleaner,"[cleaner] mais limpa, empregado da tinturaria, faxineira, mais limpas, mais limpo, mulher da limpeza"
clear,"[clear] clara, claro, limpa, aberto, abrir, absolve, absolvem, absolvemos, absolver, absolvo, claramente, claras, claros, despacha, despacham, despachamos, despachar, despacho, dissipar-se, limpam, limpamos, limpar, limpo, livre, líquido, nítida, nítido, salda, saldam, saldar, tira, tiram, tiramos, tirar, tiro, transparente, transpomos, transponho, transpor, transpõe, transpõem"
clearly,"[clearly] claramente, obviamente, claro"
climate,[climate] clima
clock,[clock] relógio
close,"[close] fechar, perto, chegado, fecha, fecham, fechamos, fechar-se, fecharam, fecharei, fecharia, fechariam, fechará, fecharão, feche, fechem, fecho, fechou, fim, próxima, próximas, próximo, próximos, termina, terminam, terminamos, terminar, terminaram, terminarei, terminaria, terminariam, terminarão, termino, terminou"
closed,"[closed] fechado, fechada, fechou, fechadas, fechados, fechamos, fechar, fecharam, fechava, fechavam, fechei, fechávamos, terminado, terminar, terminaram, terminei, terminou"
closest,"[closest] mais próximos, mais próximo, mais próxima"
clothes,"[clothes] roupas, roupa, trajes, vestir, vestuário"
cloudy,"[cloudy] nublados, enevoado, toldado, turvo, nublado"
coach,"[coach] treinador, dou aulas a, dão aulas a, camioneta, carruagem, dar aulas a, dá aulas a, treina, treinadora, treinam, treinar, treino, técnico, ônibus"
coast,"[coast] costa, litoral, costear"
coat,"[coat] casaco, agasalho, cobre, cobrem, cobrimos, cobrir, demão"
coats,"[coats] casacos, agasalhos, blusão, blusões, camadas, cobre, cobrir, demãos, pêlos"
coffee,[coffee] café
cold,"[cold] frio, fria, gelada, frias, frios, gelado, resfriada, resfriado"
collection,"[collection] coleção, abertura, colecta, tiragem"
college,"[college] faculdade, universidade, universitários"
color,"[color] cor, colorimos, colorir, cores"
colorful,"[colorful] colorido, coloridos, colorida, coloridas"
colors,"[colors] cores, colore, colorir"
comb,"[comb] pente, pentear, penteia, penteiam, penteie, penteio, vasculha, vasculham, vasculhar, vasculho"
come,"[come] venha, vir, vem, chegar, cheguem, entrarem, se tornará, tornará, veio, venham, venho, vier, viesse, viessem, vimos, vindo, vinha, virá, virão, vêm"
come from,[come from]
comes,"[comes] vem, chegar, sucede, suceder, vir"
comes from,[comes from] vem
comfortable,"[comfortable] confortável, confortáveis"
coming,"[coming] vindo, chegando, entrar, próxima, próximo, próximos, sucedendo, vir"
comment,"[comment] comentário, comenta, comentam, comentar, comentaria, comentários"
comments,"[comments] comentários, comenta, comentar"
committee,"[committee] comitê, comissão, comité"
communication,[communication] comunicação
communications,"[communications] comunicações, comunicação"
community,[community] comunidade
companies,"[companies] empresas, companhias"
company,"[company] empresa, companhia, visitas"
competition,"[competition] concorrência, competição, competições"
competitions,"[competitions] competições, concorrências"
completely,"[completely] completamente, absolutamente, totalmente"
computer,"[computer] computador, computadores, computação, informática"
computers,[computers] computadores
concept,[concept] conceito
concepts,[concepts] conceitos
concert,"[concert] concerto, show, concertos, de shows"
condition,"[condition] condição, condiciona, condicionar, condicionarei, estado"
conference,[conference] conferência
conflict,"[conflict] está em contradição, conflito, estar em contradição, estão em contradição"
conflicts,"[conflicts] está em contradição, estar em contradição, conflitos"
congratulations,[congratulations] parabéns
congress,[congress] congresso
consequences,[consequences] consequências
consider,"[consider] considerar, considere, consideram, considera, consideramos, considerarei, consideraremos, considerariam, considero, leva em consideração, levam em consideração, levamos em consideração, levar em consideração, levarei em consideração, levaremos em consideração, levariam em consideração, levará em consideração, leve em consideração, levo em consideração"
construction,[construction] construção
contains,"[contains] contém, (que) contenha, conter"
content,[content] conteúdo
continue,"[continue] continuar, continuo, continua, continuam, continuamos, continuarei, continuaremos, continuaria, continuarão, continue, seguir"
continues,"[continues] continua, continuar"
contract,"[contract] contratamos, contratar, contratam, contrato, contrair(-se), contrair(-se, contrata"
contracts,"[contracts] contratos, contrai, contrai-se, contrair, contrair-se, contrata, contratar"
control,"[control] controle, controlar, controla, controlam, controlamos, controlariam, controlarão, controlo, direcção, direção, dirige, dirigem, dirigir, dirigiriam, dirigirão, dirijo, domínio"
convenient,"[convenient] conveniente, convenientes"
conversation,[conversation] conversa
cook,"[cook] cozinho, cozinhar, cozinha, cozinhada, cozinham, cozinhamos, cozinharem, cozinhe, cozinhei, cozinheira, cozinheiro, cozinhem, cozinhou, cozinhá"
cooked,"[cooked] cozinharam, cozinhou, cozinhei, cozida, cozido, cozidos, cozinados, cozinhada, cozinhado, cozinhados, cozinhamos, cozinhar, cozinharia, cozinhava, cozinhavam, cozinhávamos, fizemos, tenha cozinhado"
cooking,"[cooking] cozinhando, cozinha, cozinhar, culinária"
cooks,"[cooks] cozinha, cozinheiros, cozinhar, cozinheiras"
cool,"[cool] legal, frio, legais, calmo, fresco, frescura, fresquinha, interessante, interessantes, ótimo"
corner,"[corner] esquina, canto, curva, vira, viram, viramos, virar, viro"
correct,"[correct] correta, corretos, certo, corretas, corrigir, corrija, correcto, correto"
cost,"[cost] custo, custa, fixará o preço de, custado, custam, custar, custaram, custaria, custará, custava, custavam, custou, fixa o preço de, fixado o preço de, fixam o preço de, fixar o preço de, fixaram o preço de, fixaria o preço de, fixava o preço de, fixavam o preço de, fixo o preço de, fixou o preço de"
costs,"[costs] custa, custos, custar, custo, despesas"
couch,[couch] sofá
could,"[could] pudesse, poderia, conseguiu, consegui, conseguia, conseguiam, conseguiram, conseguiria, conseguissem, fui capaz de, pode, poder, poderem, poderiam, poderíamos, podia, podiam, podíamos, possa, pude, puderam, pudéssemos, pôde, saber, sabia"
could i get,"[could i get] você poderia me trazer, você poderia me dar"
couldn't,[couldn't] não
count,"[count] contar, contará, conto, conde, conta, contam, contamos, contarei, contaria, contarão, conte"
countries,"[countries] países, campos, país, pátrias"
country,"[country] país, campo, pátria"
counts,"[counts] conta, conde, condes, contar, contares"
couple,"[couple] casal, par"
course,"[course] curso, aula, rumo, caminho, campo, curso de, matéria, prato, série"
courses,"[courses] cursos, aulas, caminhos, campos, matérias, pratos, rumos, séries"
court,"[court] corte, tribunal, campo, corteja, cortejam, cortejar, cortejaremos, cortejariam, cortejará, cortejarão, cortejo, cortejou, court, provoca, provocam, provocamos, provocar, provocaremos, provocariam, provocará, provocarão, provoco, provocou, pátio, quadra, tribunais"
courts,"[courts] tribunais, campos, corteja, cortejar, cortes, court, provoca, provocar, pátios, quadras"
cover,"[cover] cobrir, capa, cobrem, abrigo, cobertura, cobre, cobriremos, cobrirá, cobrirão, colcha, cubra, cubro, revista, tampa"
crab,"[crab] caranguejo, siri"
cream,"[cream] nata, creme"
create,"[create] criar, criam, crio, cria, criamos, crie, criou"
creates,"[creates] cria, criar"
credit,"[credit] crédito, haver, honra, mérito"
credit card,[credit card] cartão de crédito
credits,"[credits] créditos, acreditar em, creditar, crédito, honra, honras"
cried,"[cried] chorou, chorámos/choramos, chorado, chorar, choraram, chorava, choravam, chorei, chorávamos, gritaram, gritava, gritavam, gritou"
crime,"[crime] crime, criminalidade, delito"
crisis,[crisis] crise
crop,"[crop] colheita, corta, cortam, cortar, corte rente, cultura, quantidade"
crops,"[crops] culturas, colheitas, corta, cortar, corte rente, plantações, quantidades"
